time,distance,delta_distance,delta_time,velocity,odom_pos_x
1707150699.3441262,3.86299991607666,-0.08899998664855957,0.19767427444458008,-0.4502355549230135,0.2622769471417306
1707150699.5446332,3.7709999084472656,-0.09200000762939453,0.1983945369720459,-0.46372248466880656,0.31061047121425894
1707150699.7454472,3.627000093460083,-0.14399981498718262,0.19862961769104004,-0.7249664811376128,0.3662521925130614
1707150699.946364,3.4609999656677246,-0.1660001277923584,0.19886183738708496,-0.8347510511493406,0.42225391367699033
1707150700.1492004,3.2799999713897705,-0.1809999942779541,0.19895052909851074,-0.9097738774463455,0.48384851111875943
1707150700.3484633,3.134000062942505,-0.14599990844726562,0.19713068008422852,-0.740624992440973,0.5398537504781328
1707150700.549043,2.934000015258789,-0.20000004768371582,0.19823384284973145,-1.0089097038557802,0.5958492503301176
1707150700.7493534,2.7679998874664307,-0.1660001277923584,0.1978316307067871,-0.8390980107644805,0.6518622848793968
1707150700.949419,2.5280001163482666,-0.23999977111816406,0.197890043258667,-1.2127935653864828,0.7078587165701747
1707150701.149602,2.3369998931884766,-0.19100022315979004,0.19777131080627441,-0.9657630440993692,0.7638582346969566
1707150701.3503404,2.1519999504089355,-0.18499994277954102,0.19852399826049805,-0.9318769740713608,0.8198537314689457
1707150701.5509822,1.968000054359436,-0.1839998960494995,0.19835329055786133,-0.9276372251350435,0.8758754989269165
1707150701.751712,1.7790000438690186,-0.18900001049041748,0.19850802421569824,-0.952102622738568,0.9318512212845111
1707150701.9524095,1.5609999895095825,-0.21800005435943604,0.19857549667358398,-1.0978195095127063,0.9868514122351498
1707150702.1528683,1.3700000047683716,-0.19099998474121094,0.19851994514465332,-0.962119874665677,1.0333448999773638
1707150702.3538327,1.2000000476837158,-0.16999995708465576,0.19902396202087402,-0.8541682888758181,1.0698487982258051
1707150702.5542147,1.0149999856948853,-0.18500006198883057,0.19820666313171387,-0.9333695399830875,1.0963628764365374
1707150702.754904,0.8550000190734863,-0.15999996662139893,0.19849324226379395,-0.8060726138412403,1.1128455320748416
1707150702.9555984,0.7260000109672546,-0.1290000081062317,0.19851994514465332,-0.6498088039075101,1.1193449858491553
1707150703.1565259,0.6179999709129333,-0.10800004005432129,0.19861674308776855,-0.5437610061232158,1.1194448710962324
1707150703.357257,0.5590000152587891,-0.05899995565414429,0.19862890243530273,-0.29703610567632127,1.1194448710962324
1707150703.5580509,0.5220000147819519,-0.03700000047683716,0.19861316680908203,-0.18629178050619175,1.1194448710962324
1707150703.7587245,0.5170000195503235,-0.004999995231628418,0.1983644962310791,-0.025206099511899626,1.1194448710962324
1707150703.9590135,0.5170000195503235,0.0,0.1980571746826172,0.0,1.1194448710962324
1707150704.15978,0.5180000066757202,0.0009999871253967285,0.19909954071044922,0.005022548629838436,1.1194448710962324
1707150704.3607094,0.5180000066757202,0.0,0.19907808303833008,0.0,1.1194448710962324
1707150704.561214,0.515999972820282,-0.0020000338554382324,0.19838404655456543,-0.010081626472359127,1.1194448710962324
1707150704.7619472,0.5180000066757202,0.0020000338554382324,0.19860219955444336,0.01007055239028185,1.1194448710962324
1707150704.9624226,0.5210000276565552,0.003000020980834961,0.19816160202026367,0.0151392648739698,1.1194448710962324
1707150705.163268,0.5189999938011169,-0.0020000338554382324,0.19905638694763184,-0.010047574388881103,1.1194448710962324
1707150705.3639364,0.5180000066757202,-0.0009999871253967285,0.1984391212463379,-0.005039264027758754,1.1194448710962324
1707150705.5646718,0.5180000066757202,0.0,0.19861984252929688,0.0,1.1194448710962324
1707150705.7653482,0.5199999809265137,0.001999974250793457,0.1985161304473877,0.010074618351094175,1.1194448710962324
1707150705.9659448,0.5180000066757202,-0.001999974250793457,0.19846320152282715,-0.010077305190319732,1.1194448710962324
1707150706.1686444,0.5180000066757202,0.0,0.20055484771728516,0.0,1.1194448710962324
1707150706.3696923,0.5180000066757202,0.0,0.19896388053894043,0.0,1.1194448710962324
1707150706.5694761,0.5180000066757202,0.0,0.19763946533203125,0.0,1.1194448710962324
1707150706.768789,0.5210000276565552,0.003000020980834961,0.19718718528747559,0.015214076799469931,1.1194448710962324
1707150706.96987,0.5199999809265137,-0.001000046730041504,0.19900012016296387,-0.005025357417988252,1.1194448710962324
1707150707.1698358,0.5180000066757202,-0.001999974250793457,0.1977546215057373,-0.010113413459393834,1.1194448710962324
1707150707.369976,0.5180000066757202,0.0,0.1979987621307373,0.0,1.1194448710962324
1707150707.570692,0.5180000066757202,0.0,0.19858574867248535,0.0,1.1194448710962324
1707150707.7716265,0.5189999938011169,0.0009999871253967285,0.19874358177185059,0.005031544246518976,1.1194448710962324
1707150707.972089,0.5180000066757202,-0.0009999871253967285,0.1982722282409668,-0.005043505761086273,1.1194448710962324
1707150708.1727378,0.5189999938011169,0.0009999871253967285,0.19855332374572754,0.00503636557944171,1.1194448710962324
1707150708.3733563,0.5199999809265137,0.0009999871253967285,0.19854354858398438,0.005036613541606625,1.1194448710962324
1707150708.573961,0.5189999938011169,-0.0009999871253967285,0.19853830337524414,-0.005036746604541688,1.1194448710962324
1707150708.7747493,0.5189999938011169,0.0,0.19837713241577148,0.0,1.1194448710962324
1707150708.9753783,0.5180000066757202,-0.0009999871253967285,0.1985301971435547,-0.005036952261089281,1.1194448710962324
1707150709.1761167,0.5180000066757202,0.0,0.1986079216003418,0.0,1.1194448710962324
1707150709.3769412,0.5199999809265137,0.001999974250793457,0.19872832298278809,0.010063861158666726,1.1194448710962324
1707150709.5776656,0.5199999809265137,0.0,0.1988379955291748,0.0,1.1194448710962324
1707150709.7783165,0.5180000066757202,-0.001999974250793457,0.1985321044921875,-0.010073807739604949,1.1194448710962324
1707150709.9788635,0.5189999938011169,0.0009999871253967285,0.198380708694458,0.005040747822596443,1.1194448710962324
1707150710.1797307,0.5199999809265137,0.0009999871253967285,0.19872283935546875,0.005032069432180289,1.1194448710962324
